doc_id,department,queue_position,patients_ahead,hour_of_day,day_of_week,avg_consultation_time,active_priority_count,historical_delay_factor,no_show_rate,actual_wait_minutes
DOC_106,Dermatology,19,18,8,2,8.7,1,1.22,0.16,189.1
DOC_105,General Medicine,21,20,12,1,13.3,0,1.1,0.09,277.6
DOC_110,Pediatrics,19,18,10,3,14.2,0,0.83,0.14,246.0
DOC_104,Cardiology,20,19,9,3,18.2,0,1.15,0.06,481.2
DOC_113,Cardiology,2,1,10,5,22.5,0,0.93,0.2,19.3
DOC_109,Dermatology,8,7,11,3,14.2,0,1.03,0.11,121.5
DOC_101,General Medicine,13,12,9,4,16.4,0,1.49,0.17,335.7
DOC_111,Orthopedics,3,2,14,4,19.9,2,1.26,0.19,110.2
DOC_108,Dermatology,23,22,12,4,10.6,1,1.25,0.18,279.9
DOC_100,Orthopedics,1,0,14,5,19.1,0,1.17,0.11,0.0
DOC_109,Dermatology,4,3,15,4,8.0,0,0.94,0.19,26.1
DOC_106,Orthopedics,10,9,14,0,20.1,0,1.12,0.08,247.3
DOC_103,Neurology,23,22,15,5,24.0,0,0.96,0.11,529.5
DOC_103,General Medicine,5,4,12,1,8.0,0,1.46,0.1,45.6
DOC_107,Cardiology,20,19,9,1,18.0,1,0.9,0.2,369.0
DOC_110,Cardiology,23,22,9,0,19.8,0,1.28,0.13,750.6
DOC_109,Neurology,11,10,10,0,27.3,1,1.06,0.14,430.7
DOC_105,Neurology,1,0,9,2,22.4,0,0.83,0.14,0.3
DOC_110,Dermatology,19,18,10,3,12.0,2,1.08,0.13,308.6
DOC_107,Cardiology,18,17,16,5,23.5,0,0.96,0.08,371.2
DOC_108,Dermatology,16,15,16,4,8.0,2,1.24,0.1,164.8
DOC_102,Orthopedics,24,23,10,0,19.6,0,0.86,0.07,538.8
DOC_105,Dermatology,3,2,17,1,8.0,0,1.18,0.15,21.6
DOC_112,Cardiology,24,23,12,2,16.0,0,1.2,0.06,428.3
DOC_102,Neurology,6,5,17,2,22.3,1,1.24,0.17,155.5
DOC_113,Cardiology,5,4,9,2,19.2,0,1.34,0.06,134.3
DOC_111,Dermatology,6,5,10,0,8.0,2,1.03,0.13,81.8
DOC_114,Orthopedics,1,0,10,1,15.2,0,1.46,0.15,0.0
DOC_107,Neurology,22,21,10,2,25.7,0,1.03,0.18,629.5
DOC_108,Orthopedics,10,9,14,2,19.3,0,1.23,0.06,234.2
DOC_106,Cardiology,8,7,14,5,16.5,1,1.04,0.11,148.3
DOC_101,Neurology,22,21,11,5,22.3,0,0.83,0.1,460.0
DOC_110,Dermatology,12,11,16,3,14.9,1,0.94,0.11,159.9
DOC_102,Dermatology,23,22,9,1,8.1,2,1.39,0.15,311.8
DOC_104,Cardiology,2,1,9,5,19.0,1,1.26,0.09,61.9
DOC_112,General Medicine,12,11,11,2,11.0,1,0.81,0.07,137.5
DOC_104,Cardiology,4,3,9,5,22.1,0,0.83,0.19,64.4
DOC_103,Pediatrics,24,23,12,3,15.0,0,1.46,0.19,458.5
DOC_111,Orthopedics,3,2,12,0,19.8,1,1.37,0.14,97.5
DOC_100,Cardiology,13,12,9,5,16.6,0,0.87,0.15,202.5
DOC_100,Pediatrics,2,1,9,3,17.7,0,1.04,0.19,19.2
DOC_107,Dermatology,4,3,9,0,13.3,0,1.2,0.16,63.0
DOC_103,Pediatrics,23,22,16,4,16.5,0,1.28,0.16,422.1
DOC_102,Cardiology,20,19,15,5,21.9,0,0.87,0.06,378.4
DOC_112,Cardiology,14,13,12,3,18.8,0,1.24,0.12,288.3
DOC_102,Dermatology,4,3,16,0,15.6,0,1.45,0.2,66.0
DOC_113,Pediatrics,11,10,14,3,17.9,0,1.39,0.18,248.5
DOC_105,Neurology,18,17,15,1,23.7,0,0.86,0.2,343.7
DOC_112,Cardiology,7,6,17,3,19.0,0,1.3,0.12,140.9
DOC_111,Neurology,19,18,9,2,21.9,0,1.08,0.14,497.8
DOC_103,Dermatology,7,6,14,4,13.9,0,1.08,0.12,95.0
DOC_108,Cardiology,5,4,9,2,20.7,2,1.17,0.14,182.3
DOC_113,Cardiology,16,15,14,2,23.6,0,1.47,0.18,527.3
DOC_111,Dermatology,4,3,11,1,9.0,0,0.99,0.1,30.0
DOC_103,Orthopedics,1,0,10,4,19.0,0,0.91,0.19,6.6
DOC_112,Neurology,24,23,15,2,21.0,0,0.82,0.11,418.1
DOC_100,Pediatrics,22,21,15,0,9.9,1,1.13,0.11,301.9
DOC_100,General Medicine,5,4,14,1,15.0,1,0.97,0.12,78.7
DOC_113,Cardiology,1,0,12,1,20.4,0,0.88,0.15,1.8
DOC_101,Neurology,12,11,14,3,25.3,0,1.41,0.11,413.3
DOC_114,General Medicine,19,18,15,3,19.5,3,1.23,0.15,533.4
